,0,1,2
818,U+1F5FF,moyai,"['face', 'moyai', 'place', 'statue', 'travel']"
819,U+1F6E2,oil drum,"['drum', 'object', 'oil']"
820,U+1F52E,crystal ball,"['ball', 'crystal', 'fairy tale', 'fantasy', 'fortune', 'object', 'tool']"
821,U+1F3E7,automated teller machine,"['atm', 'automated', 'bank', 'place', 'sign', 'symbol', 'teller']"
822,U+1F6AE,put litter in its place symbol,"['litter', 'litterbox', 'place', 'symbol', 'travel']"
823,U+1F6B0,potable water symbol,"['drink', 'potable', 'sign', 'symbol', 'travel', 'water']"
824,U+267F,wheelchair symbol,"['access', 'sign', 'symbol', 'travel', 'wheelchair']"
825,U+1F6B9,mens symbol,"['lavatory', 'man', 'restroom', 'sign', 'symbol', 'travel', 'wc']"
826,U+1F6BA,womens symbol,"['lavatory', 'restroom', 'sign', 'symbol', 'travel', 'wc', 'woman']"
827,U+1F6BB,restroom,"['lavatory', 'restroom', 'sign', 'symbol', 'travel', 'wc']"
828,U+1F6BC,baby symbol,"['baby', 'changing', 'sign', 'symbol', 'travel']"
829,U+1F6BE,water closet,"['closet', 'lavatory', 'place', 'restroom', 'sign', 'symbol', 'travel', 'water', 'wc']"
830,U+1F6C2,passport control,"['control', 'passport', 'place', 'sign', 'symbol', 'travel']"
831,U+1F6C3,customs,"['customs', 'place', 'sign', 'symbol', 'travel']"
832,U+1F6C4,baggage claim,"['baggage', 'claim', 'place', 'sign', 'symbol', 'travel']"
833,U+1F6C5,left luggage,"['baggage', 'left luggage', 'locker', 'luggage', 'place', 'sign', 'symbol', 'travel']"
834,U+26A0,warning sign,"['place', 'symbol', 'travel', 'warning']"
835,U+1F6B8,children crossing,"['child', 'crossing', 'pedestrian', 'place', 'sign', 'symbol', 'traffic', 'travel']"
836,U+26D4,no entry,"['entry', 'forbidden', 'no', 'not', 'prohibited', 'symbol', 'traffic', 'travel']"
837,U+1F6AB,no entry sign,"['entry', 'forbidden', 'no', 'not', 'prohibited', 'symbol', 'travel']"
838,U+1F6B3,no bicycles,"['bicycle', 'bike', 'forbidden', 'no', 'not', 'place', 'prohibited', 'sign', 'sport', 'symbol', 'travel', 'vehicle']"
839,U+1F6AD,no smoking symbol,"['forbidden', 'no', 'not', 'prohibited', 'sign', 'smoking', 'symbol', 'travel']"
840,U+1F6AF,do not litter symbol,"['forbidden', 'litter', 'no', 'not', 'prohibited', 'sign', 'symbol', 'travel']"
841,U+1F6B1,non-potable water symbol,"['drink', 'forbidden', 'no', 'not', 'potable', 'prohibited', 'sign', 'symbol', 'travel', 'water']"
842,U+1F6B7,no pedestrians,"['forbidden', 'no', 'not', 'pedestrian', 'place', 'prohibited', 'sign', 'symbol', 'travel']"
843,U+2622,radioactive sign,"['radioactive', 'sign', 'symbol']"
844,U+2623,biohazard sign,"['biohazard', 'sign', 'symbol']"
845,U+2B06,upwards black arrow,"['arrow', 'cardinal', 'direction', 'north', 'symbol']"
846,U+2197,north east arrow,"['arrow', 'direction', 'intercardinal', 'northeast', 'symbol']"
847,U+27A1,black rightwards arrow,"['arrow', 'cardinal', 'direction', 'east', 'symbol']"
848,U+2198,south east arrow,"['arrow', 'direction', 'intercardinal', 'southeast', 'symbol']"
849,U+2B07,downwards black arrow,"['arrow', 'cardinal', 'direction', 'down', 'south', 'symbol']"
850,U+2199,south west arrow,"['arrow', 'direction', 'intercardinal', 'southwest', 'symbol']"
851,U+2B05,leftwards black arrow,"['arrow', 'cardinal', 'direction', 'symbol', 'west']"
852,U+2196,north west arrow,"['arrow', 'direction', 'intercardinal', 'northwest', 'symbol']"
853,U+2195,up down arrow,"['arrow', 'symbol']"
854,U+2194,left right arrow,"['arrow', 'symbol']"
855,U+21A9,leftwards arrow with hook,"['arrow', 'symbol']"
856,U+21AA,rightwards arrow with hook,"['arrow', 'symbol']"
857,U+2934,arrow pointing rightwards then curving upwards,"['arrow', 'symbol']"
858,U+2935,arrow pointing rightwards then curving downwards,"['arrow', 'down', 'symbol']"
859,U+1F503,clockwise downwards and upwards open circle arrows,"['arrow', 'clockwise', 'reload', 'symbol']"
860,U+1F504,anticlockwise downwards and upwards open circle arrows,"['anticlockwise', 'arrow', 'counterclockwise', 'symbol', 'withershins']"
861,U+1F519,back with leftwards arrow above,"['arrow', 'back', 'symbol']"
862,U+1F51A,end with leftwards arrow above,"['arrow', 'end', 'symbol']"
863,U+1F51B,on with exclamation mark with left right arrow above,"['arrow', 'mark', 'on', 'symbol']"
864,U+1F51C,soon with rightwards arrow above,"['arrow', 'soon', 'symbol']"
865,U+1F51D,top with upwards arrow above,"['arrow', 'symbol', 'top', 'up']"
866,U+1F6D0,place of worship,"['place', 'religion', 'worship']"
867,U+269B,atom symbol,"['atheist', 'atom', 'symbol']"
868,U+1F549,om symbol,"['hindu', 'om', 'religion', 'symbol']"
869,U+2721,star of david,"['david', 'jew', 'jewish', 'religion', 'star', 'symbol']"
870,U+2638,wheel of dharma,"['buddhist', 'dharma', 'religion', 'symbol', 'wheel']"
871,U+262F,yin yang,"['religion', 'sign', 'symbol', 'tao', 'taoist', 'yang', 'yin']"
872,U+271D,latin cross,"['christian', 'cross', 'religion', 'symbol']"
873,U+2626,orthodox cross,"['christian', 'cross', 'religion', 'symbol']"
874,U+262A,star and crescent,"['islam', 'muslim', 'religion', 'symbol']"
875,U+262E,peace symbol,"['peace', 'sign', 'symbol']"
876,U+1F54E,menorah with nine branches,"['candelabrum', 'candlestick', 'menorah', 'object', 'place', 'religion']"
877,U+1F52F,six pointed star with middle dot,"['fortune', 'object', 'star', 'symbol']"
878,U+267B,black universal recycling symbol,"['recycle', 'sign', 'symbol']"
879,U+1F4DB,name badge,"['badge', 'name', 'object', 'office']"
880,U+269C,fleur-de-lis,"['fleur-de-lis', 'symbol']"
881,U+1F530,japanese symbol for beginner,"['beginner', 'chevron', 'green', 'japanese', 'leaf', 'object', 'tool', 'yellow']"
882,U+1F531,trident emblem,"['anchor', 'emblem', 'object', 'ship', 'symbol', 'tool', 'trident']"
883,U+2B55,heavy large circle,"['circle', 'o', 'symbol', 'travel']"
884,U+2705,white heavy check mark,"['check', 'mark', 'sign', 'symbol']"
885,U+2611,ballot box with check,"['ballot', 'box', 'check', 'sign', 'symbol']"
886,U+2714,heavy check mark,"['check', 'mark', 'sign', 'symbol']"
887,U+2716,heavy multiplication x,"['cancel', 'multiplication', 'multiply', 'sign', 'symbol', 'x']"
888,U+274C,cross mark,"['cancel', 'mark', 'multiplication', 'multiply', 'sign', 'symbol', 'x']"
889,U+274E,negative squared cross mark,"['mark', 'sign', 'square', 'symbol']"
890,U+2795,heavy plus sign,"['math', 'plus', 'sign', 'symbol']"
891,U+2796,heavy minus sign,"['math', 'minus', 'sign', 'symbol']"
892,U+2797,heavy division sign,"['division', 'math', 'sign', 'symbol']"
893,U+27B0,curly loop,"['curl', 'loop', 'sign', 'symbol']"
894,U+27BF,double curly loop,"['curl', 'double', 'loop', 'sign', 'symbol']"
895,U+303D,part alternation mark,"['mark', 'part', 'sign', 'symbol']"
896,U+2733,eight spoked asterisk,"['asterisk', 'sign', 'symbol']"
897,U+2734,eight pointed black star,"['sign', 'star', 'symbol']"
898,U+2747,sparkle,"['sign', 'sparkle', 'symbol']"
899,U+1F4B1,currency exchange,"['bank', 'currency', 'exchange', 'money', 'object', 'office', 'symbol']"
900,U+1F4B2,heavy dollar sign,"['currency', 'dollar', 'money', 'object', 'office', 'symbol']"
901,U+203C,double exclamation mark,"['bangbang', 'exclamation', 'mark', 'punctuation', 'symbol', 'word']"
902,U+2049,exclamation question mark,"['exclamation', 'interrobang', 'mark', 'punctuation', 'question', 'symbol', 'word']"
903,U+2753,black question mark ornament,"['mark', 'punctuation', 'question', 'symbol', 'word']"
904,U+2754,white question mark ornament,"['mark', 'outlined', 'punctuation', 'question', 'symbol', 'word']"
905,U+2755,white exclamation mark ornament,"['exclamation', 'mark', 'outlined', 'punctuation', 'symbol', 'word']"
906,U+2757,heavy exclamation mark symbol,"['exclamation', 'mark', 'punctuation', 'symbol', 'word']"
907,U+3030,wavy dash,"['dash', 'punctuation', 'sound', 'symbol', 'wavy']"
908,U+00A9,copyright sign,"['copyright', 'symbol', 'word']"
909,U+00AE,registered sign,"['registered', 'symbol', 'word']"
910,U+2122,trade mark sign,"['mark', 'symbol', 'tm', 'trademark', 'word']"
911,U+2648,aries,"['aries', 'ram', 'symbol', 'time', 'zodiac']"
912,U+2649,taurus,"['bull', 'ox', 'symbol', 'taurus', 'time', 'zodiac']"
913,U+264A,gemini,"['gemini', 'symbol', 'time', 'twins', 'zodiac']"
914,U+264B,cancer,"['cancer', 'crab', 'symbol', 'time', 'zodiac']"
915,U+264C,leo,"['leo', 'lion', 'symbol', 'time', 'zodiac']"
916,U+264D,virgo,"['maiden', 'symbol', 'time', 'virgin', 'virgo', 'zodiac']"
917,U+264E,libra,"['balance', 'justice', 'libra', 'scales', 'symbol', 'time', 'zodiac']"
918,U+264F,scorpius,"['scorpio', 'scorpion', 'scorpius', 'symbol', 'time', 'zodiac']"
919,U+2650,sagittarius,"['archer', 'sagittarius', 'symbol', 'time', 'zodiac']"
920,U+2651,capricorn,"['capricorn', 'goat', 'symbol', 'time', 'zodiac']"
921,U+2652,aquarius,"['aquarius', 'bearer', 'symbol', 'time', 'water', 'zodiac']"
922,U+2653,pisces,"['fish', 'pisces', 'symbol', 'time', 'zodiac']"
923,U+26CE,ophiuchus,"['bearer', 'ophiuchus', 'serpent', 'snake', 'symbol', 'zodiac']"
924,U+1F500,twisted rightwards arrows,"['arrow', 'crossed', 'symbol']"
925,U+1F501,clockwise rightwards and leftwards open circle arrows,"['arrow', 'clockwise', 'repeat', 'symbol']"
926,U+1F502,clockwise rightwards and leftwards open circle arrows with circled one overlay,"['arrow', 'clockwise', 'once', 'symbol']"
927,U+25B6,black right-pointing triangle,"['arrow', 'play', 'right', 'sound', 'symbol', 'triangle']"
928,U+23E9,black right-pointing double triangle,"['arrow', 'double', 'fast', 'forward', 'sound', 'symbol']"
929,U+23ED,black right-pointing double triangle with vertical bar,"['arrow', 'next scene', 'next track', 'sound', 'symbol', 'triangle']"
930,U+23EF,black right-pointing triangle with double vertical bar,"['arrow', 'pause', 'play', 'right', 'sound', 'symbol', 'triangle']"
931,U+25C0,black left-pointing triangle,"['arrow', 'left', 'reverse', 'sound', 'symbol', 'triangle']"
932,U+23EA,black left-pointing double triangle,"['arrow', 'double', 'rewind', 'sound', 'symbol']"
933,U+23EE,black left-pointing double triangle with vertical bar,"['arrow', 'previous scene', 'previous track', 'sound', 'symbol', 'triangle']"
934,U+1F53C,up-pointing small red triangle,"['arrow', 'button', 'red', 'symbol']"
935,U+23EB,black up-pointing double triangle,"['arrow', 'double', 'sound', 'symbol']"
936,U+1F53D,down-pointing small red triangle,"['arrow', 'button', 'down', 'red', 'symbol']"
937,U+23EC,black down-pointing double triangle,"['arrow', 'double', 'down', 'sound', 'symbol']"
938,U+23F8,double vertical bar,"['bar', 'double', 'pause', 'sound', 'symbol', 'vertical']"
939,U+23F9,black square for stop,"['sound', 'square', 'stop', 'symbol']"
940,U+23FA,black circle for record,"['circle', 'record', 'sound', 'symbol']"
941,U+23CF,eject symbol,"['eject', 'sound', 'symbol']"
942,U+1F3A6,cinema,"['activity', 'camera', 'cinema', 'entertainment', 'film', 'movie', 'object', 'symbol']"
943,U+1F505,low brightness symbol,"['brightness', 'dim', 'low', 'sign', 'symbol']"
944,U+1F506,high brightness symbol,"['bright', 'brightness', 'sign', 'symbol']"
945,U+1F4F6,antenna with bars,"['antenna', 'bar', 'cell', 'communication', 'mobile', 'object', 'phone', 'signal', 'symbol', 'telephone']"
946,U+1F4F5,no mobile phones,"['cell', 'communication', 'forbidden', 'mobile', 'no', 'not', 'object', 'phone', 'prohibited', 'symbol', 'telephone']"
947,U+1F4F3,vibration mode,"['cell', 'communication', 'mobile', 'mode', 'object', 'phone', 'symbol', 'telephone', 'vibration']"
948,U+1F4F4,mobile phone off,"['cell', 'communication', 'mobile', 'object', 'off', 'phone', 'symbol', 'telephone']"
949,U+0023 U+20E3,keycap number sign,"['hash', 'keycap', 'pound', 'symbol', 'word']"
950,U+002A U+20E3,keycap asterisk,"['asterisk', 'keycap', 'star', 'symbol']"
951,U+0030 U+20E3,keycap digit zero,"['0', 'keycap', 'symbol', 'word', 'zero']"
952,U+0031 U+20E3,keycap digit one,"['1', 'keycap', 'one', 'symbol', 'word']"
953,U+0032 U+20E3,keycap digit two,"['2', 'keycap', 'symbol', 'two', 'word']"
954,U+0033 U+20E3,keycap digit three,"['3', 'keycap', 'symbol', 'three', 'word']"
955,U+0034 U+20E3,keycap digit four,"['4', 'four', 'keycap', 'symbol', 'word']"
956,U+0035 U+20E3,keycap digit five,"['5', 'five', 'keycap', 'symbol', 'word']"
957,U+0036 U+20E3,keycap digit six,"['6', 'keycap', 'six', 'symbol', 'word']"
958,U+0037 U+20E3,keycap digit seven,"['7', 'keycap', 'seven', 'symbol', 'word']"
959,U+0038 U+20E3,keycap digit eight,"['8', 'eight', 'keycap', 'symbol', 'word']"
960,U+0039 U+20E3,keycap digit nine,"['9', 'keycap', 'nine', 'symbol', 'word']"
961,U+1F51F,keycap ten,"['10', 'keycap', 'symbol', 'ten', 'word']"
962,U+1F4AF,hundred points symbol,"['100', 'full', 'hundred', 'office', 'score', 'symbol']"
963,U+1F51E,no one under eighteen symbol,"['18', 'age restriction', 'eighteen', 'forbidden', 'no', 'not', 'prohibited', 'symbol', 'underage', 'word']"
964,U+1F520,input symbol for latin capital letters,"['input', 'latin', 'letters', 'symbol', 'uppercase', 'word']"
965,U+1F521,input symbol for latin small letters,"['abcd', 'input', 'latin', 'letters', 'lowercase', 'symbol', 'word']"
966,U+1F522,input symbol for numbers,"['1234', 'input', 'numbers', 'symbol', 'word']"
967,U+1F523,input symbol for symbols,"['input', 'symbol', 'word']"
968,U+1F524,input symbol for latin letters,"['abc', 'alphabet', 'input', 'latin', 'letters', 'symbol', 'word']"
969,U+1F170,negative squared latin capital letter a,"['a', 'blood', 'symbol', 'word']"
970,U+1F18E,negative squared ab,"['ab', 'blood', 'symbol', 'word']"
971,U+1F171,negative squared latin capital letter b,"['b', 'blood', 'symbol', 'word']"
972,U+1F191,squared cl,"['cl', 'symbol', 'word']"
973,U+1F192,squared cool,"['cool', 'symbol', 'word']"
974,U+1F193,squared free,"['free', 'symbol', 'word']"
975,U+2139,information source,"['i', 'information', 'symbol', 'word']"
976,U+1F194,squared id,"['id', 'identity', 'symbol', 'word']"
977,U+24C2,circled latin capital letter m,"['circle', 'm', 'place', 'symbol', 'word']"
978,U+1F195,squared new,"['new', 'symbol', 'word']"
979,U+1F196,squared ng,"['ng', 'symbol', 'word']"
980,U+1F17E,negative squared latin capital letter o,"['blood', 'o', 'symbol', 'word']"
981,U+1F197,squared ok,"['ok', 'symbol', 'word']"
982,U+1F17F,negative squared latin capital letter p,"['parking', 'place', 'sign', 'symbol', 'word']"
983,U+1F198,squared sos,"['help', 'sos', 'symbol', 'word']"
984,U+1F199,squared up with exclamation mark,"['mark', 'symbol', 'up', 'word']"
985,U+1F19A,squared vs,"['symbol', 'versus', 'vs', 'word']"
986,U+1F201,squared katakana koko,"['japanese', 'symbol', 'word']"
987,U+1F202,squared katakana sa,"['japanese', 'symbol', 'word']"
988,U+1F237,squared cjk unified ideograph-6708,"['japanese', 'symbol', 'word']"
989,U+1F236,squared cjk unified ideograph-6709,"['japanese', 'symbol', 'word']"
990,U+1F22F,squared cjk unified ideograph-6307,"['japanese', 'symbol', 'word']"
991,U+1F250,circled ideograph advantage,"['japanese', 'symbol', 'word']"
992,U+1F239,squared cjk unified ideograph-5272,"['japanese', 'symbol', 'word']"
993,U+1F21A,squared cjk unified ideograph-7121,"['japanese', 'symbol', 'word']"
994,U+1F232,squared cjk unified ideograph-7981,"['japanese', 'symbol', 'word']"
995,U+1F251,circled ideograph accept,"['chinese', 'symbol', 'word']"
996,U+1F238,squared cjk unified ideograph-7533,"['chinese', 'symbol', 'word']"
997,U+1F234,squared cjk unified ideograph-5408,"['chinese', 'symbol', 'word']"
998,U+1F233,squared cjk unified ideograph-7a7a,"['chinese', 'symbol', 'word']"
999,U+3297,circled ideograph congratulation,"['chinese', 'congratulation', 'congratulations', 'ideograph', 'symbol', 'word']"
1000,U+3299,circled ideograph secret,"['chinese', 'ideograph', 'secret', 'symbol', 'word']"
1001,U+1F23A,squared cjk unified ideograph-55b6,"['chinese', 'symbol', 'word']"
1002,U+1F235,squared cjk unified ideograph-6e80,"['chinese', 'symbol', 'word']"
1003,U+25AA,black small square,"['geometric', 'sign', 'square', 'symbol']"
1004,U+25AB,white small square,"['geometric', 'sign', 'square', 'symbol']"
1005,U+25FB,white medium square,"['geometric', 'sign', 'square', 'symbol']"
1006,U+25FC,black medium square,"['geometric', 'sign', 'square', 'symbol']"
1007,U+25FD,white medium small square,"['geometric', 'sign', 'square', 'symbol']"
1008,U+25FE,black medium small square,"['geometric', 'sign', 'square', 'symbol']"
1009,U+2B1B,black large square,"['geometric', 'sign', 'square', 'symbol']"
1010,U+2B1C,white large square,"['geometric', 'sign', 'square', 'symbol']"
1011,U+1F536,large orange diamond,"['diamond', 'geometric', 'orange', 'sign', 'symbol']"
1012,U+1F537,large blue diamond,"['blue', 'diamond', 'geometric', 'sign', 'symbol']"
1013,U+1F538,small orange diamond,"['diamond', 'geometric', 'orange', 'sign', 'symbol']"
1014,U+1F539,small blue diamond,"['blue', 'diamond', 'geometric', 'sign', 'symbol']"
1015,U+1F53A,up-pointing red triangle,"['geometric', 'red', 'sign', 'symbol']"
1016,U+1F53B,down-pointing red triangle,"['down', 'geometric', 'red', 'sign', 'symbol']"
1017,U+1F4A0,diamond shape with a dot inside,"['comic', 'diamond', 'geometric', 'inside', 'sign', 'symbol']"
1018,U+1F518,radio button,"['button', 'geometric', 'radio', 'sign', 'symbol']"
1019,U+1F532,black square button,"['button', 'geometric', 'sign', 'square', 'symbol']"
1020,U+1F533,white square button,"['button', 'geometric', 'outlined', 'sign', 'square', 'symbol']"
1021,U+26AA,medium white circle,"['circle', 'geometric', 'sign', 'symbol']"
1022,U+26AB,medium black circle,"['circle', 'geometric', 'sign', 'symbol']"
1023,U+1F534,large red circle,"['circle', 'geometric', 'red', 'sign', 'symbol']"
1024,U+1F535,large blue circle,"['blue', 'circle', 'geometric', 'sign', 'symbol']"
1025,U+1F1E6 U+1F1E8,flag for Ascension Island,"['ascension', 'flag', 'island', 'other']"
1026,U+1F1E6 U+1F1E9,flag for Andorra,"['andorra', 'flag', 'other']"
1027,U+1F1E6 U+1F1EA,flag for United Arab Emirates,"['emirates', 'flag', 'other', 'uae', 'united']"
1028,U+1F1E6 U+1F1EB,flag for Afghanistan,"['afghanistan', 'flag', 'other']"
1029,U+1F1E6 U+1F1EC,flag for Antigua & Barbuda,"['antigua', 'barbuda', 'flag', 'other']"
1030,U+1F1E6 U+1F1EE,flag for Anguilla,"['anguilla', 'flag', 'other']"
1031,U+1F1E6 U+1F1F1,flag for Albania,"['albania', 'flag', 'other']"
1032,U+1F1E6 U+1F1F2,flag for Armenia,"['armenia', 'flag', 'other']"
1033,U+1F1E6 U+1F1F4,flag for Angola,"['angola', 'flag', 'other']"
1034,U+1F1E6 U+1F1F6,flag for Antarctica,"['antarctica', 'flag', 'other']"
1035,U+1F1E6 U+1F1F7,flag for Argentina,"['argentina', 'flag', 'other']"
1036,U+1F1E6 U+1F1F8,flag for American Samoa,"['american', 'flag', 'other', 'samoa']"
1037,U+1F1E6 U+1F1F9,flag for Austria,"['austria', 'flag', 'other']"
1038,U+1F1E6 U+1F1FA,flag for Australia,"['australia', 'flag', 'other']"
1039,U+1F1E6 U+1F1FC,flag for Aruba,"['aruba', 'flag', 'other']"
1040,U+1F1E6 U+1F1FD,flag for land Islands,"['land', 'flag', 'other']"
1041,U+1F1E6 U+1F1FF,flag for Azerbaijan,"['azerbaijan', 'flag', 'other']"
1042,U+1F1E7 U+1F1E6,flag for Bosnia & Herzegovina,"['bosnia', 'flag', 'herzegovina', 'other']"
1043,U+1F1E7 U+1F1E7,flag for Barbados,"['barbados', 'flag', 'other']"
1044,U+1F1E7 U+1F1E9,flag for Bangladesh,"['bangladesh', 'flag', 'other']"
1045,U+1F1E7 U+1F1EA,flag for Belgium,"['belgium', 'flag', 'other']"
1046,U+1F1E7 U+1F1EB,flag for Burkina Faso,"['burkina faso', 'flag', 'other']"
1047,U+1F1E7 U+1F1EC,flag for Bulgaria,"['bulgaria', 'flag', 'other']"
1048,U+1F1E7 U+1F1ED,flag for Bahrain,"['bahrain', 'flag', 'other']"
1049,U+1F1E7 U+1F1EE,flag for Burundi,"['burundi', 'flag', 'other']"
1050,U+1F1E7 U+1F1EF,flag for Benin,"['benin', 'flag', 'other']"
1051,U+1F1E7 U+1F1F1,flag for St. Barthlemy,"['barthelemy', 'barthlemy', 'flag', 'other', 'saint']"
1052,U+1F1E7 U+1F1F2,flag for Bermuda,"['bermuda', 'flag', 'other']"
1053,U+1F1E7 U+1F1F3,flag for Brunei,"['brunei', 'darussalam', 'flag', 'other']"
1054,U+1F1E7 U+1F1F4,flag for Bolivia,"['bolivia', 'flag', 'other']"
1055,U+1F1E7 U+1F1F6,flag for Caribbean Netherlands,"['bonaire', 'caribbean', 'eustatius', 'flag', 'netherlands', 'other', 'saba', 'sint']"
1056,U+1F1E7 U+1F1F7,flag for Brazil,"['brazil', 'flag', 'other']"
1057,U+1F1E7 U+1F1F8,flag for Bahamas,"['bahamas', 'flag', 'other']"
1058,U+1F1E7 U+1F1F9,flag for Bhutan,"['bhutan', 'flag', 'other']"
1059,U+1F1E7 U+1F1FB,flag for Bouvet Island,"['bouvet', 'flag', 'island', 'other']"
1060,U+1F1E7 U+1F1FC,flag for Botswana,"['botswana', 'flag', 'other']"
1061,U+1F1E7 U+1F1FE,flag for Belarus,"['belarus', 'flag', 'other']"
1062,U+1F1E7 U+1F1FF,flag for Belize,"['belize', 'flag', 'other']"
1063,U+1F1E8 U+1F1E6,flag for Canada,"['canada', 'flag', 'other']"
1064,U+1F1E8 U+1F1E8,flag for Cocos Islands,"['cocos', 'flag', 'island', 'keeling', 'other']"
1065,U+1F1E8 U+1F1E9,flag for Congo - Kinshasa,"['congo', 'congo-kinshasa', 'democratic republic of congo', 'drc', 'flag', 'kinshasa', 'other', 'republic']"
1066,U+1F1E8 U+1F1EB,flag for Central African Republic,"['central african republic', 'flag', 'other', 'republic']"
1067,U+1F1E8 U+1F1EC,flag for Congo - Brazzaville,"['brazzaville', 'congo', 'congo republic', 'congo-brazzaville', 'flag', 'other', 'republic', 'republic of the congo']"
1068,U+1F1E8 U+1F1ED,flag for Switzerland,"['flag', 'other', 'switzerland']"
1069,U+1F1E8 U+1F1EE,flag for Cte dIvoire,"['cote ivoire', 'cte ivoire', 'flag', 'ivory coast', 'other']"
1070,U+1F1E8 U+1F1F0,flag for Cook Islands,"['cook', 'flag', 'island', 'other']"
1071,U+1F1E8 U+1F1F1,flag for Chile,"['chile', 'flag', 'other']"
1072,U+1F1E8 U+1F1F2,flag for Cameroon,"['cameroon', 'flag', 'other']"
1073,U+1F1E8 U+1F1F3,flag for China,"['china', 'flag', 'other']"
1074,U+1F1E8 U+1F1F4,flag for Colombia,"['colombia', 'flag', 'other']"
1075,U+1F1E8 U+1F1F5,flag for Clipperton Island,"['clipperton', 'flag', 'island', 'other']"
1076,U+1F1E8 U+1F1F7,flag for Costa Rica,"['costa rica', 'flag', 'other']"
1077,U+1F1E8 U+1F1FA,flag for Cuba,"['cuba', 'flag', 'other']"
1078,U+1F1E8 U+1F1FB,flag for Cape Verde,"['cabo', 'cape', 'flag', 'other', 'verde']"
1079,U+1F1E8 U+1F1FC,flag for Curaao,"['antilles', 'curacao', 'curaao', 'flag', 'other']"
1080,U+1F1E8 U+1F1FD,flag for Christmas Island,"['christmas', 'flag', 'island', 'other']"
1081,U+1F1E8 U+1F1FE,flag for Cyprus,"['cyprus', 'flag', 'other']"
1082,U+1F1E8 U+1F1FF,flag for Czech Republic,"['czech republic', 'flag', 'other']"
1083,U+1F1E9 U+1F1EA,flag for Germany,"['flag', 'germany', 'other']"
1084,U+1F1E9 U+1F1EC,flag for Diego Garcia,"['diego garcia', 'flag', 'other']"
1085,U+1F1E9 U+1F1EF,flag for Djibouti,"['djibouti', 'flag', 'other']"
1086,U+1F1E9 U+1F1F0,flag for Denmark,"['denmark', 'flag', 'other']"
1087,U+1F1E9 U+1F1F2,flag for Dominica,"['dominica', 'flag', 'other']"
1088,U+1F1E9 U+1F1F4,flag for Dominican Republic,"['dominican republic', 'flag', 'other']"
1089,U+1F1E9 U+1F1FF,flag for Algeria,"['algeria', 'flag', 'other']"
1090,U+1F1EA U+1F1E6,flag for Ceuta & Melilla,"['ceuta', 'flag', 'melilla', 'other']"
1091,U+1F1EA U+1F1E8,flag for Ecuador,"['ecuador', 'flag', 'other']"
1092,U+1F1EA U+1F1EA,flag for Estonia,"['estonia', 'flag', 'other']"
1093,U+1F1EA U+1F1EC,flag for Egypt,"['egypt', 'flag', 'other']"
1094,U+1F1EA U+1F1ED,flag for Western Sahara,"['flag', 'other', 'sahara', 'west', 'western sahara']"
1095,U+1F1EA U+1F1F7,flag for Eritrea,"['eritrea', 'flag', 'other']"
1096,U+1F1EA U+1F1F8,flag for Spain,"['flag', 'other', 'spain']"
1097,U+1F1EA U+1F1F9,flag for Ethiopia,"['ethiopia', 'flag', 'other']"
1098,U+1F1EA U+1F1FA,flag for European Union,"['european union', 'flag', 'other']"
1099,U+1F1EB U+1F1EE,flag for Finland,"['finland', 'flag', 'other']"
1100,U+1F1EB U+1F1EF,flag for Fiji,"['fiji', 'flag', 'other']"
1101,U+1F1EB U+1F1F0,flag for Falkland Islands,"['falkland', 'falklands', 'flag', 'island', 'islas', 'malvinas', 'other']"
1102,U+1F1EB U+1F1F2,flag for Micronesia,"['flag', 'micronesia', 'other']"
1103,U+1F1EB U+1F1F4,flag for Faroe Islands,"['faroe', 'flag', 'island', 'other']"
1104,U+1F1EB U+1F1F7,flag for France,"['flag', 'france', 'other']"
1105,U+1F1EC U+1F1E6,flag for Gabon,"['flag', 'gabon', 'other']"
1106,U+1F1EC U+1F1E7,flag for United Kingdom,"['britain', 'british', 'cornwall', 'england', 'flag', 'great britain', 'ireland', 'northern ireland', 'other', 'scotland', 'uk', 'union jack', 'united', 'united kingdom', 'wales']"
1107,U+1F1EC U+1F1E9,flag for Grenada,"['flag', 'grenada', 'other']"
1108,U+1F1EC U+1F1EA,flag for Georgia,"['flag', 'georgia', 'other']"
1109,U+1F1EC U+1F1EB,flag for French Guiana,"['flag', 'french', 'guiana', 'other']"
1110,U+1F1EC U+1F1EC,flag for Guernsey,"['flag', 'guernsey', 'other']"
1111,U+1F1EC U+1F1ED,flag for Ghana,"['flag', 'ghana', 'other']"
1112,U+1F1EC U+1F1EE,flag for Gibraltar,"['flag', 'gibraltar', 'other']"
1113,U+1F1EC U+1F1F1,flag for Greenland,"['flag', 'greenland', 'other']"
1114,U+1F1EC U+1F1F2,flag for Gambia,"['flag', 'gambia', 'other']"
1115,U+1F1EC U+1F1F3,flag for Guinea,"['flag', 'guinea', 'other']"
1116,U+1F1EC U+1F1F5,flag for Guadeloupe,"['flag', 'guadeloupe', 'other']"
1117,U+1F1EC U+1F1F6,flag for Equatorial Guinea,"['equatorial guinea', 'flag', 'guinea', 'other']"
1118,U+1F1EC U+1F1F7,flag for Greece,"['flag', 'greece', 'other']"
1119,U+1F1EC U+1F1F8,flag for South Georgia & South Sandwich Islands,"['flag', 'georgia', 'island', 'other', 'south', 'south georgia', 'south sandwich']"
1120,U+1F1EC U+1F1F9,flag for Guatemala,"['flag', 'guatemala', 'other']"
