,annotations,byteCode,descriptions
0,"['face', 'grin', 'person']",\U0001F600,grinning face
1,"['eye', 'face', 'grin', 'person', 'smile']",\U0001F601,grinning face with smiling eyes
2,"['face', 'joy', 'person', 'tear']",\U0001F602,face with tears of joy
3,"['face', 'mouth', 'open', 'person', 'smile']",\U0001F603,smiling face with open mouth
4,"['eye', 'face', 'mouth', 'open', 'person', 'smile']",\U0001F604,smiling face with open mouth and smiling eyes
5,"['cold', 'face', 'open', 'person', 'smile', 'sweat']",\U0001F605,smiling face with open mouth and cold sweat
6,"['face', 'laugh', 'mouth', 'open', 'person', 'satisfied', 'smile']",\U0001F606,smiling face with open mouth and tightly-closed eyes
7,"['face', 'person', 'wink']",\U0001F609,winking face
8,"['blush', 'eye', 'face', 'person', 'smile']",\U0001F60A,smiling face with smiling eyes
9,"['delicious', 'face', 'food', 'person', 'savouring', 'smile', 'um', 'yum']",\U0001F60B,face savouring delicious food
10,"['bright', 'cool', 'eye', 'eyewear', 'face', 'glasses', 'person', 'smile', 'sun', 'sunglasses', 'weather']",\U0001F60E,smiling face with sunglasses
11,"['eye', 'face', 'heart', 'love', 'person', 'smile']",\U0001F60D,smiling face with heart-shaped eyes
12,"['face', 'heart', 'kiss', 'person']",\U0001F618,face throwing a kiss
13,"['face', 'kiss', 'person']",\U0001F617,kissing face
14,"['eye', 'face', 'kiss', 'person', 'smile']",\U0001F619,kissing face with smiling eyes
15,"['closed', 'eye', 'face', 'kiss', 'person']",\U0001F61A,kissing face with closed eyes
16,"['face', 'outlined', 'person', 'relaxed', 'smile']",\U0000263A,white smiling face
17,"['face', 'person', 'smile']",\U0001F642,slightly smiling face
18,"['face', 'hug', 'hugging', 'person']",\U0001F917,hugging face
19,"['angel', 'face', 'fairy tale', 'fantasy', 'halo', 'innocent', 'person', 'smile']",\U0001F607,smiling face with halo
20,"['face', 'person', 'thinking']",\U0001F914,thinking face
21,"['deadpan', 'face', 'neutral', 'person']",\U0001F610,neutral face
22,"['expressionless', 'face', 'inexpressive', 'person', 'unexpressive']",\U0001F611,expressionless face
23,"['face', 'mouth', 'person', 'quiet', 'silent']",\U0001F636,face without mouth
24,"['eyes', 'face', 'person', 'rolling']",\U0001F644,face with rolling eyes
25,"['face', 'person', 'smirk']",\U0001F60F,smirking face
26,"['face', 'persevere', 'person']",\U0001F623,persevering face
27,"['disappointed', 'face', 'person', 'relieved', 'whew']",\U0001F625,disappointed but relieved face
28,"['face', 'mouth', 'open', 'person', 'sympathy']",\U0001F62E,face with open mouth
29,"['face', 'mouth', 'person', 'zipper']",\U0001F910,zipper-mouth face
30,"['face', 'hushed', 'person', 'stunned', 'surprised']",\U0001F62F,hushed face
31,"['face', 'person', 'sleep']",\U0001F62A,sleepy face
32,"['face', 'person', 'tired']",\U0001F62B,tired face
33,"['face', 'person', 'sleep', 'zzz']",\U0001F634,sleeping face
34,"['face', 'person', 'relieved']",\U0001F60C,relieved face
35,"['face', 'geek', 'nerd', 'person']",\U0001F913,nerd face
36,"['face', 'person', 'tongue']",\U0001F61B,face with stuck-out tongue
37,"['eye', 'face', 'joke', 'person', 'tongue', 'wink']",\U0001F61C,face with stuck-out tongue and winking eye
38,"['eye', 'face', 'horrible', 'person', 'taste', 'tongue']",\U0001F61D,face with stuck-out tongue and tightly-closed eyes
39,"['face', 'frown', 'person']",\U00002639,white frowning face
40,"['face', 'frown', 'person']",\U0001F641,slightly frowning face
41,"['face', 'person', 'unamused', 'unhappy']",\U0001F612,unamused face
42,"['cold', 'face', 'person', 'sweat']",\U0001F613,face with cold sweat
43,"['dejected', 'face', 'pensive', 'person']",\U0001F614,pensive face
44,"['confused', 'face', 'person']",\U0001F615,confused face
45,"['confounded', 'face', 'person']",\U0001F616,confounded face
46,"['face', 'person', 'upside-down']",\U0001F643,upside-down face
47,"['cold', 'doctor', 'face', 'mask', 'medicine', 'person', 'sick']",\U0001F637,face with medical mask
48,"['face', 'ill', 'person', 'sick', 'thermometer']",\U0001F912,face with thermometer
49,"['bandage', 'face', 'hurt', 'injury', 'person']",\U0001F915,face with head-bandage
50,"['face', 'money', 'mouth', 'person']",\U0001F911,money-mouth face
51,"['astonished', 'face', 'person', 'shocked', 'totally']",\U0001F632,astonished face
52,"['disappointed', 'face', 'person']",\U0001F61E,disappointed face
53,"['face', 'person', 'worried']",\U0001F61F,worried face
54,"['face', 'person', 'triumph', 'won']",\U0001F624,face with look of triumph
55,"['cry', 'face', 'person', 'sad', 'tear']",\U0001F622,crying face
56,"['cry', 'face', 'person', 'sad', 'sob', 'tear']",\U0001F62D,loudly crying face
57,"['face', 'frown', 'mouth', 'open', 'person']",\U0001F626,frowning face with open mouth
58,"['anguished', 'face', 'person']",\U0001F627,anguished face
59,"['face', 'fear', 'fearful', 'person', 'scared']",\U0001F628,fearful face
60,"['face', 'person', 'tired', 'weary']",\U0001F629,weary face
61,"['face', 'grimace', 'person']",\U0001F62C,grimacing face
62,"['blue', 'cold', 'face', 'mouth', 'open', 'person', 'rushed', 'sweat']",\U0001F630,face with open mouth and cold sweat
63,"['face', 'fear', 'fearful', 'munch', 'person', 'scared', 'scream']",\U0001F631,face screaming in fear
64,"['dazed', 'face', 'flushed', 'person']",\U0001F633,flushed face
65,"['dizzy', 'face', 'person']",\U0001F635,dizzy face
66,"['angry', 'face', 'mad', 'person', 'pouting', 'rage', 'red']",\U0001F621,pouting face
67,"['angry', 'face', 'mad', 'person']",\U0001F620,angry face
68,"['face', 'fairy tale', 'fantasy', 'horns', 'person', 'smile']",\U0001F608,smiling face with horns
69,"['devil', 'face', 'fairy tale', 'fantasy', 'imp', 'person']",\U0001F47F,imp
70,"['creature', 'face', 'fairy tale', 'fantasy', 'japanese', 'monster', 'ogre', 'person']",\U0001F479,japanese ogre
71,"['creature', 'face', 'fairy tale', 'fantasy', 'goblin', 'japanese', 'monster', 'person']",\U0001F47A,japanese goblin
72,"['body', 'death', 'face', 'fairy tale', 'monster', 'person', 'skull']",\U0001F480,skull
73,"['body', 'crossbones', 'death', 'face', 'monster', 'person', 'skull']",\U00002620,skull and crossbones
74,"['creature', 'face', 'fairy tale', 'fantasy', 'ghost', 'monster', 'person']",\U0001F47B,ghost
75,"['alien', 'creature', 'extraterrestrial', 'face', 'fairy tale', 'fantasy', 'monster', 'nature', 'person', 'space', 'ufo']",\U0001F47D,extraterrestrial alien
76,"['alien', 'creature', 'extraterrestrial', 'face', 'fairy tale', 'fantasy', 'monster', 'nature', 'person', 'space', 'ufo']",\U0001F47E,alien monster
77,"['face', 'monster', 'person', 'robot']",\U0001F916,robot face
78,"['comic', 'dung', 'face', 'monster', 'nature', 'object', 'poo', 'poop']",\U0001F4A9,pile of poo
79,"['animal', 'cat', 'face', 'mouth', 'nature', 'open', 'smile']",\U0001F63A,smiling cat face with open mouth
80,"['animal', 'cat', 'eye', 'face', 'grin', 'nature', 'smile']",\U0001F638,grinning cat face with smiling eyes
81,"['animal', 'cat', 'face', 'joy', 'nature', 'tear']",\U0001F639,cat face with tears of joy
82,"['animal', 'cat', 'eye', 'face', 'heart', 'love', 'nature', 'smile']",\U0001F63B,smiling cat face with heart-shaped eyes
83,"['animal', 'cat', 'face', 'ironic', 'nature', 'smile', 'wry']",\U0001F63C,cat face with wry smile
84,"['animal', 'cat', 'eye', 'face', 'kiss', 'nature']",\U0001F63D,kissing cat face with closed eyes
85,"['animal', 'cat', 'face', 'nature', 'oh', 'surprised', 'weary']",\U0001F640,weary cat face
86,"['animal', 'cat', 'cry', 'face', 'nature', 'sad', 'tear']",\U0001F63F,crying cat face
87,"['animal', 'cat', 'face', 'nature', 'pouting']",\U0001F63E,pouting cat face
88,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'monkey', 'nature', 'no', 'not', 'prohibited', 'see']",\U0001F648,see-no-evil monkey
89,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'hear', 'monkey', 'nature', 'no', 'not', 'prohibited']",\U0001F649,hear-no-evil monkey
90,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'monkey', 'nature', 'no', 'not', 'prohibited', 'speak']",\U0001F64A,speak-no-evil monkey
91,"['boy', 'person']",\U0001F466,boy
92,"['girl', 'maiden', 'person', 'virgin', 'virgo', 'zodiac']",\U0001F467,girl
93,"['man', 'person']",\U0001F468,man
94,"['person', 'woman']",\U0001F469,woman
95,"['man', 'old', 'person']",\U0001F474,older man
96,"['old', 'person', 'woman']",\U0001F475,older woman
97,"['baby', 'person']",\U0001F476,baby
98,"['blond', 'person']",\U0001F471,person with blond hair
99,"['cop', 'officer', 'person', 'police']",\U0001F46E,police officer
100,"['gua pi mao', 'hat', 'man', 'person']",\U0001F472,man with gua pi mao
101,"['man', 'person', 'turban']",\U0001F473,man with turban
102,"['construction', 'hat', 'person', 'worker']",\U0001F477,construction worker
103,"['aid', 'cross', 'face', 'hat', 'helmet', 'person']",\U000026D1,helmet with white cross
104,"['fairy tale', 'fantasy', 'person', 'princess']",\U0001F478,princess
105,"['guard', 'guardsman', 'person']",\U0001F482,guardsman
106,"['person', 'sleuth', 'spy']",\U0001F575,sleuth or spy
107,"['activity', 'celebration', 'christmas', 'fairy tale', 'fantasy', 'father', 'person', 'santa']",\U0001F385,father christmas
108,"['angel', 'baby', 'face', 'fairy tale', 'fantasy', 'person']",\U0001F47C,baby angel
109,"['bunny', 'dancer', 'ear', 'girl', 'person', 'woman']",\U0001F46F,woman with bunny ears
110,"['massage', 'person', 'salon']",\U0001F486,face massage
111,"['barber', 'beauty', 'haircut', 'parlor', 'person']",\U0001F487,haircut
112,"['bride', 'person', 'veil', 'wedding']",\U0001F470,bride with veil
113,"['frown', 'gesture', 'person']",\U0001F64D,person frowning
114,"['gesture', 'person', 'pouting']",\U0001F64E,person with pouting face
115,"['forbidden', 'gesture', 'hand', 'no', 'not', 'person', 'prohibited']",\U0001F645,face with no good gesture
116,"['gesture', 'hand', 'ok', 'person']",\U0001F646,face with ok gesture
117,"['hand', 'help', 'information', 'person', 'sassy']",\U0001F481,information desk person
118,"['gesture', 'hand', 'happy', 'person', 'raised']",\U0001F64B,happy person raising one hand
119,"['apology', 'bow', 'gesture', 'person', 'sorry']",\U0001F647,person bowing deeply
120,"['body', 'celebration', 'gesture', 'hand', 'hooray', 'person', 'raised']",\U0001F64C,person raising both hands in celebration
121,"['ask', 'body', 'bow', 'folded', 'gesture', 'hand', 'person', 'please', 'pray', 'thanks']",\U0001F64F,person with folded hands
122,"['face', 'head', 'person', 'silhouette', 'speak', 'speaking']",\U0001F5E3,speaking head in silhouette
123,"['bust', 'person', 'silhouette']",\U0001F464,bust in silhouette
124,"['bust', 'person', 'silhouette']",\U0001F465,busts in silhouette
125,"['hike', 'pedestrian', 'person', 'walk', 'walking']",\U0001F6B6,pedestrian
126,"['marathon', 'person', 'runner', 'running']",\U0001F3C3,runner
127,"['dancer', 'person']",\U0001F483,dancer
128,"['business', 'man', 'person', 'suit']",\U0001F574,man in business suit levitating
129,"['couple', 'kiss', 'person', 'romance']",\U0001F48F,kiss
130,"['couple', 'heart', 'love', 'person', 'romance']",\U0001F491,couple with heart
131,"['child', 'family', 'father', 'mother', 'person']",\U0001F46A,family
132,"['couple', 'hand', 'hold', 'man', 'person', 'woman']",\U0001F46B,man and woman holding hands
133,"['couple', 'gemini', 'hand', 'hold', 'man', 'person', 'twins', 'zodiac']",\U0001F46C,two men holding hands
134,"['couple', 'hand', 'hold', 'person', 'woman']",\U0001F46D,two women holding hands
135,"['emoji modifier', 'fitzpatrick', 'skin', 'symbol', 'tone']",\U0001F3FB,emoji modifier fitzpatrick type-1-2
136,"['emoji modifier', 'fitzpatrick', 'skin', 'symbol', 'tone']",\U0001F3FC,emoji modifier fitzpatrick type-3
137,"['emoji modifier', 'fitzpatrick', 'skin', 'symbol', 'tone']",\U0001F3FD,emoji modifier fitzpatrick type-4
138,"['emoji modifier', 'fitzpatrick', 'skin', 'symbol', 'tone']",\U0001F3FE,emoji modifier fitzpatrick type-5
139,"['emoji modifier', 'fitzpatrick', 'skin', 'symbol', 'tone']",\U0001F3FF,emoji modifier fitzpatrick type-6
140,"['biceps', 'body', 'comic', 'flex', 'muscle', 'person']",\U0001F4AA,flexed biceps
141,"['backhand', 'body', 'finger', 'hand', 'index', 'person', 'point']",\U0001F448,white left pointing backhand index
142,"['backhand', 'body', 'finger', 'hand', 'index', 'person', 'point']",\U0001F449,white right pointing backhand index
143,"['body', 'finger', 'hand', 'index', 'person', 'point', 'up']",\U0000261D,white up pointing index
144,"['backhand', 'body', 'finger', 'hand', 'index', 'person', 'point', 'up']",\U0001F446,white up pointing backhand index
145,"['body', 'finger', 'hand', 'middle finger', 'person']",\U0001F595,reversed hand with middle finger extended
146,"['backhand', 'body', 'down', 'finger', 'hand', 'index', 'person', 'point']",\U0001F447,white down pointing backhand index
147,"['body', 'hand', 'person', 'v', 'victory']",\U0000270C,victory hand
148,"['body', 'finger', 'hand', 'person', 'spock', 'vulcan']",\U0001F596,raised hand with part between middle and ring fingers
149,"['body', 'finger', 'hand', 'horns', 'person', 'rock-on']",\U0001F918,sign of the horns
150,"['body', 'finger', 'hand', 'person', 'splayed']",\U0001F590,raised hand with fingers splayed
151,"['body', 'clenched', 'fist', 'hand', 'person', 'punch']",\U0000270A,raised fist
152,"['body', 'hand', 'person']",\U0000270B,raised hand
153,"['body', 'clenched', 'fist', 'hand', 'person', 'punch']",\U0001F44A,fisted hand sign
154,"['body', 'hand', 'ok', 'person']",\U0001F44C,ok hand sign
155,"['+1', 'body', 'hand', 'person', 'thumb', 'thumbs up', 'up']",\U0001F44D,thumbs up sign
156,"['-1', 'body', 'down', 'hand', 'person', 'thumb', 'thumbs down']",\U0001F44E,thumbs down sign
157,"['body', 'hand', 'person', 'wave', 'waving']",\U0001F44B,waving hand sign
158,"['body', 'clap', 'hand', 'person']",\U0001F44F,clapping hands sign
159,"['body', 'hand', 'open', 'person']",\U0001F450,open hands sign
160,"['body', 'education', 'hand', 'person', 'write']",\U0000270D,writing hand
161,"['body', 'care', 'cosmetics', 'manicure', 'nail', 'person', 'polish']",\U0001F485,nail polish
162,"['body', 'ear', 'person']",\U0001F442,ear
163,"['body', 'nose', 'person']",\U0001F443,nose
164,"['body', 'clothing', 'footprint', 'person', 'print']",\U0001F463,footprints
165,"['body', 'eye', 'face', 'person']",\U0001F440,eyes
166,"['body', 'eye', 'person']",\U0001F441,eye
167,"['body', 'person', 'tongue']",\U0001F445,tongue
168,"['body', 'lips', 'mouth', 'person']",\U0001F444,mouth
169,"['emotion', 'heart', 'kiss', 'lips', 'mark', 'person', 'romance']",\U0001F48B,kiss mark
170,"['arrow', 'cupid', 'emotion', 'heart', 'person', 'romance']",\U0001F498,heart with arrow
171,"['emotion', 'heart', 'person']",\U00002764,heavy black heart
172,"['beating', 'emotion', 'heart', 'heartbeat', 'person', 'pulsating']",\U0001F493,beating heart
173,"['break', 'broken', 'emotion', 'heart', 'person']",\U0001F494,broken heart
174,"['emotion', 'heart', 'love', 'person']",\U0001F495,two hearts
175,"['emotion', 'excited', 'heart', 'person', 'sparkle']",\U0001F496,sparkling heart
176,"['emotion', 'excited', 'growing', 'heart', 'heartpulse', 'nervous', 'person']",\U0001F497,growing heart
177,"['blue', 'emotion', 'heart', 'person']",\U0001F499,blue heart
178,"['emotion', 'green', 'heart', 'person']",\U0001F49A,green heart
179,"['emotion', 'heart', 'person', 'yellow']",\U0001F49B,yellow heart
180,"['emotion', 'heart', 'person', 'purple']",\U0001F49C,purple heart
181,"['emotion', 'heart', 'object', 'person', 'ribbon', 'valentine']",\U0001F49D,heart with ribbon
182,"['emotion', 'heart', 'person', 'revolving']",\U0001F49E,revolving hearts
183,"['emotion', 'heart', 'person', 'symbol']",\U0001F49F,heart decoration
184,"['emotion', 'exclamation', 'heart', 'mark', 'punctuation', 'symbol']",\U00002763,heavy heart exclamation mark ornament
185,"['emotion', 'heart', 'letter', 'love', 'mail', 'person', 'romance']",\U0001F48C,love letter
186,"['comic', 'emotion', 'person', 'sleep', 'symbol', 'word', 'zzz']",\U0001F4A4,sleeping symbol
187,"['angry', 'comic', 'emotion', 'mad', 'person', 'symbol']",\U0001F4A2,anger symbol
188,"['bomb', 'comic', 'object']",\U0001F4A3,bomb
189,"['boom', 'collision', 'comic', 'emotion', 'person']",\U0001F4A5,collision symbol
190,"['comic', 'emotion', 'object', 'person', 'splashing', 'sweat']",\U0001F4A6,splashing sweat symbol
191,"['comic', 'dash', 'emotion', 'object', 'person', 'running']",\U0001F4A8,dash symbol
192,"['comic', 'dizzy', 'emotion', 'person', 'star']",\U0001F4AB,dizzy symbol
193,"['balloon', 'bubble', 'comic', 'dialog', 'emotion', 'object', 'person', 'speech']",\U0001F4AC,speech balloon
194,"['dialog', 'other', 'speech']",\U0001F5E8,left speech bubble
195,"['angry', 'balloon', 'bubble', 'emotion', 'mad', 'symbol']",\U0001F5EF,right anger bubble
196,"['balloon', 'bubble', 'comic', 'emotion', 'object', 'person', 'thought']",\U0001F4AD,thought balloon
197,"['hole', 'symbol']",\U0001F573,hole
198,"['clothing', 'eye', 'eyeglasses', 'eyewear', 'glasses', 'object', 'person']",\U0001F453,eyeglasses
199,"['dark', 'eye', 'eyewear', 'glasses', 'object', 'sunglasses']",\U0001F576,dark sunglasses
200,"['clothing', 'necktie', 'object', 'person']",\U0001F454,necktie
201,"['clothing', 'object', 'person', 'shirt', 'tshirt']",\U0001F455,t-shirt
202,"['clothing', 'jeans', 'object', 'pants', 'person', 'trousers']",\U0001F456,jeans
203,"['clothing', 'dress', 'object', 'person']",\U0001F457,dress
204,"['clothing', 'kimono', 'object', 'person']",\U0001F458,kimono
205,"['bikini', 'clothing', 'object', 'person', 'swim']",\U0001F459,bikini
206,"['clothing', 'object', 'person', 'woman']",\U0001F45A,womans clothes
207,"['clothing', 'coin', 'object', 'person', 'purse']",\U0001F45B,purse
208,"['bag', 'clothing', 'handbag', 'object', 'person']",\U0001F45C,handbag
209,"['bag', 'clothing', 'object', 'person', 'pouch']",\U0001F45D,pouch
210,"['bag', 'hotel', 'object', 'shopping']",\U0001F6CD,shopping bags
211,"['activity', 'bag', 'education', 'object', 'satchel', 'school']",\U0001F392,school satchel
212,"['clothing', 'man', 'object', 'person', 'shoe']",\U0001F45E,mans shoe
213,"['athletic', 'clothing', 'object', 'person', 'shoe', 'sneaker']",\U0001F45F,athletic shoe
214,"['clothing', 'heel', 'object', 'person', 'shoe', 'woman']",\U0001F460,high-heeled shoe
215,"['clothing', 'object', 'person', 'sandal', 'shoe', 'woman']",\U0001F461,womans sandal
216,"['boot', 'clothing', 'object', 'person', 'shoe', 'woman']",\U0001F462,womans boots
217,"['clothing', 'crown', 'king', 'object', 'person', 'queen']",\U0001F451,crown
218,"['clothing', 'hat', 'object', 'person', 'woman']",\U0001F452,womans hat
219,"['activity', 'clothing', 'entertainment', 'hat', 'object', 'person', 'top', 'tophat']",\U0001F3A9,top hat
220,"['activity', 'cap', 'celebration', 'clothing', 'education', 'graduation', 'hat', 'object']",\U0001F393,graduation cap
221,"['beads', 'clothing', 'necklace', 'object', 'person', 'prayer', 'religion']",\U0001F4FF,prayer beads
222,"['cosmetics', 'lipstick', 'makeup', 'object', 'person']",\U0001F484,lipstick
223,"['diamond', 'emotion', 'object', 'person', 'ring', 'romance']",\U0001F48D,ring
224,"['diamond', 'emotion', 'gem', 'jewel', 'object', 'person', 'romance']",\U0001F48E,gem stone
225,"['animal', 'face', 'monkey', 'nature']",\U0001F435,monkey face
226,"['animal', 'monkey', 'nature']",\U0001F412,monkey
227,"['animal', 'dog', 'face', 'nature', 'pet']",\U0001F436,dog face
228,"['animal', 'dog', 'nature', 'pet']",\U0001F415,dog
229,"['animal', 'dog', 'nature', 'poodle']",\U0001F429,poodle
230,"['animal', 'face', 'nature', 'wolf']",\U0001F43A,wolf face
231,"['animal', 'cat', 'face', 'nature', 'pet']",\U0001F431,cat face
232,"['animal', 'cat', 'nature', 'pet']",\U0001F408,cat
233,"['animal', 'face', 'leo', 'lion', 'nature', 'zodiac']",\U0001F981,lion face
234,"['animal', 'face', 'nature', 'tiger']",\U0001F42F,tiger face
235,"['animal', 'nature', 'tiger']",\U0001F405,tiger
236,"['animal', 'leopard', 'nature']",\U0001F406,leopard
237,"['animal', 'face', 'horse', 'nature']",\U0001F434,horse face
238,"['animal', 'horse', 'nature', 'place', 'racehorse', 'racing']",\U0001F40E,horse
239,"['animal', 'face', 'nature', 'unicorn']",\U0001F984,unicorn face
240,"['animal', 'cow', 'face', 'nature']",\U0001F42E,cow face
241,"['animal', 'bull', 'nature', 'ox', 'taurus', 'zodiac']",\U0001F402,ox
242,"['animal', 'buffalo', 'nature', 'water']",\U0001F403,water buffalo
243,"['animal', 'cow', 'nature']",\U0001F404,cow
244,"['animal', 'face', 'nature', 'pig']",\U0001F437,pig face
245,"['animal', 'nature', 'pig', 'sow']",\U0001F416,pig
246,"['animal', 'boar', 'nature', 'pig']",\U0001F417,boar
247,"['animal', 'face', 'nature', 'nose', 'pig']",\U0001F43D,pig nose
248,"['animal', 'aries', 'nature', 'ram', 'sheep', 'zodiac']",\U0001F40F,ram
249,"['animal', 'ewe', 'nature', 'sheep']",\U0001F411,sheep
250,"['animal', 'capricorn', 'goat', 'nature', 'zodiac']",\U0001F410,goat
251,"['animal', 'camel', 'dromedary', 'hump', 'nature']",\U0001F42A,dromedary camel
252,"['animal', 'bactrian', 'camel', 'hump', 'nature']",\U0001F42B,bactrian camel
253,"['animal', 'elephant', 'nature']",\U0001F418,elephant
254,"['animal', 'face', 'mouse', 'nature']",\U0001F42D,mouse face
255,"['animal', 'mouse', 'nature']",\U0001F401,mouse
256,"['animal', 'nature', 'rat']",\U0001F400,rat
257,"['animal', 'face', 'hamster', 'nature', 'pet']",\U0001F439,hamster face
258,"['animal', 'bunny', 'face', 'nature', 'pet', 'rabbit']",\U0001F430,rabbit face
259,"['animal', 'bunny', 'nature', 'pet', 'rabbit']",\U0001F407,rabbit
260,"['animal', 'chipmunk', 'nature']",\U0001F43F,chipmunk
261,"['animal', 'bear', 'face', 'nature']",\U0001F43B,bear face
262,"['animal', 'bear', 'koala', 'nature']",\U0001F428,koala
263,"['animal', 'face', 'nature', 'panda']",\U0001F43C,panda face
264,"['animal', 'feet', 'nature', 'paw', 'print']",\U0001F43E,paw prints
265,"['animal', 'nature', 'turkey']",\U0001F983,turkey
266,"['animal', 'chicken', 'nature']",\U0001F414,chicken
267,"['animal', 'nature', 'rooster']",\U0001F413,rooster
268,"['animal', 'baby', 'chick', 'hatching', 'nature']",\U0001F423,hatching chick
269,"['animal', 'baby', 'chick', 'nature']",\U0001F424,baby chick
270,"['animal', 'baby', 'chick', 'nature']",\U0001F425,front-facing baby chick
271,"['animal', 'bird', 'nature']",\U0001F426,bird
272,"['animal', 'nature', 'penguin']",\U0001F427,penguin
273,"['animal', 'bird', 'dove', 'fly', 'nature', 'peace']",\U0001F54A,dove of peace
274,"['animal', 'face', 'frog', 'nature']",\U0001F438,frog face
275,"['animal', 'crocodile', 'nature']",\U0001F40A,crocodile
276,"['animal', 'nature', 'turtle']",\U0001F422,turtle
277,"['animal', 'bearer', 'nature', 'ophiuchus', 'serpent', 'snake', 'zodiac']",\U0001F40D,snake
278,"['animal', 'dragon', 'face', 'fairy tale', 'nature']",\U0001F432,dragon face
279,"['animal', 'dragon', 'fairy tale', 'nature']",\U0001F409,dragon
280,"['animal', 'face', 'nature', 'spouting', 'whale']",\U0001F433,spouting whale
281,"['animal', 'nature', 'whale']",\U0001F40B,whale
282,"['animal', 'dolphin', 'flipper', 'nature']",\U0001F42C,dolphin
283,"['animal', 'fish', 'nature', 'pisces', 'zodiac']",\U0001F41F,fish
284,"['animal', 'fish', 'nature', 'tropical']",\U0001F420,tropical fish
285,"['animal', 'blowfish', 'fish', 'nature']",\U0001F421,blowfish
286,"['animal', 'nature', 'octopus']",\U0001F419,octopus
287,"['animal', 'nature', 'shell', 'spiral']",\U0001F41A,spiral shell
288,"['animal', 'cancer', 'crab', 'nature', 'zodiac']",\U0001F980,crab
289,"['animal', 'nature', 'snail']",\U0001F40C,snail
290,"['animal', 'bug', 'insect', 'nature']",\U0001F41B,bug
291,"['animal', 'ant', 'insect', 'nature']",\U0001F41C,ant
292,"['animal', 'bee', 'honeybee', 'insect', 'nature']",\U0001F41D,honeybee
293,"['animal', 'beetle', 'insect', 'lady beetle', 'ladybird', 'ladybug', 'nature']",\U0001F41E,lady beetle
294,"['animal', 'insect', 'object', 'spider']",\U0001F577,spider
295,"['animal', 'object', 'spider', 'web']",\U0001F578,spider web
296,"['animal', 'nature', 'scorpio', 'scorpion', 'scorpius', 'zodiac']",\U0001F982,scorpion
297,"['bouquet', 'flower', 'nature', 'object', 'place', 'plant', 'romance']",\U0001F490,bouquet
298,"['blossom', 'cherry', 'flower', 'nature', 'plant']",\U0001F338,cherry blossom
299,"['flower', 'object', 'symbol']",\U0001F4AE,white flower
300,"['nature', 'plant', 'rosette']",\U0001F3F5,rosette
301,"['flower', 'nature', 'plant', 'rose']",\U0001F339,rose
302,"['flower', 'hibiscus', 'nature', 'plant']",\U0001F33A,hibiscus
303,"['flower', 'nature', 'plant', 'sun', 'sunflower']",\U0001F33B,sunflower
304,"['blossom', 'flower', 'nature', 'plant']",\U0001F33C,blossom
305,"['flower', 'nature', 'plant', 'tulip']",\U0001F337,tulip
306,"['nature', 'plant', 'shamrock']",\U00002618,shamrock
307,"['nature', 'plant', 'seedling', 'young']",\U0001F331,seedling
308,"['evergreen', 'nature', 'plant', 'tree']",\U0001F332,evergreen tree
309,"['deciduous', 'nature', 'plant', 'shedding', 'tree']",\U0001F333,deciduous tree
310,"['nature', 'palm', 'plant', 'tree']",\U0001F334,palm tree
311,"['cactus', 'nature', 'plant']",\U0001F335,cactus
312,"['ear', 'nature', 'plant', 'rice']",\U0001F33E,ear of rice
313,"['herb', 'leaf', 'nature', 'plant']",\U0001F33F,herb
314,"['4', 'clover', 'four', 'leaf', 'nature', 'plant']",\U0001F340,four leaf clover
315,"['falling', 'leaf', 'maple', 'nature', 'plant']",\U0001F341,maple leaf
316,"['falling', 'leaf', 'nature', 'plant']",\U0001F342,fallen leaf
317,"['blow', 'flutter', 'leaf', 'nature', 'plant', 'wind']",\U0001F343,leaf fluttering in wind
318,"['food', 'fruit', 'grape', 'nature', 'object', 'plant']",\U0001F347,grapes
319,"['food', 'fruit', 'melon', 'nature', 'object', 'plant']",\U0001F348,melon
320,"['food', 'fruit', 'nature', 'object', 'plant', 'watermelon']",\U0001F349,watermelon
321,"['food', 'fruit', 'nature', 'object', 'orange', 'plant', 'tangerine']",\U0001F34A,tangerine
322,"['citrus', 'food', 'fruit', 'lemon', 'nature', 'object', 'plant']",\U0001F34B,lemon
323,"['banana', 'food', 'fruit', 'nature', 'object', 'plant']",\U0001F34C,banana
324,"['food', 'fruit', 'nature', 'object', 'pineapple', 'plant']",\U0001F34D,pineapple
325,"['apple', 'food', 'fruit', 'nature', 'object', 'plant', 'red']",\U0001F34E,red apple
326,"['apple', 'food', 'fruit', 'green', 'nature', 'object', 'plant']",\U0001F34F,green apple
327,"['food', 'fruit', 'nature', 'object', 'pear', 'plant']",\U0001F350,pear
328,"['food', 'fruit', 'nature', 'object', 'peach', 'plant']",\U0001F351,peach
329,"['cherry', 'food', 'fruit', 'nature', 'object', 'plant']",\U0001F352,cherries
330,"['berry', 'food', 'fruit', 'nature', 'object', 'plant', 'strawberry']",\U0001F353,strawberry
331,"['food', 'nature', 'object', 'plant', 'tomato', 'vegetable']",\U0001F345,tomato
332,"['aubergine', 'eggplant', 'food', 'nature', 'object', 'plant', 'vegetable']",\U0001F346,aubergine
